,indicator,date,rate
327,low,2022-03-04 14:58:00,25.88
328,close,2022-03-04 14:58:00,25.88
330,open,2022-03-04 14:57:00,25.93
331,high,2022-03-04 14:57:00,25.93
332,low,2022-03-04 14:57:00,25.91
333,close,2022-03-04 14:57:00,25.91
335,open,2022-03-04 14:56:00,25.924
336,high,2022-03-04 14:56:00,25.924
337,low,2022-03-04 14:56:00,25.9
338,close,2022-03-04 14:56:00,25.92
340,open,2022-03-04 14:55:00,25.9348
341,high,2022-03-04 14:55:00,25.95
342,low,2022-03-04 14:55:00,25.925
343,close,2022-03-04 14:55:00,25.93
345,open,2022-03-04 14:54:00,25.94
346,high,2022-03-04 14:54:00,25.94
347,low,2022-03-04 14:54:00,25.94
348,close,2022-03-04 14:54:00,25.94
350,open,2022-03-04 14:53:00,25.92
351,high,2022-03-04 14:53:00,25.93
352,low,2022-03-04 14:53:00,25.9161
353,close,2022-03-04 14:53:00,25.93
355,open,2022-03-04 14:52:00,25.93
356,high,2022-03-04 14:52:00,25.94
357,low,2022-03-04 14:52:00,25.84
358,close,2022-03-04 14:52:00,25.915
360,open,2022-03-04 14:51:00,25.95
361,high,2022-03-04 14:51:00,25.96
362,low,2022-03-04 14:51:00,25.92
363,close,2022-03-04 14:51:00,25.94
365,open,2022-03-04 14:50:00,25.965
366,high,2022-03-04 14:50:00,25.9666
367,low,2022-03-04 14:50:00,25.96
368,close,2022-03-04 14:50:00,25.96
370,open,2022-03-04 14:49:00,26.0
371,high,2022-03-04 14:49:00,26.0
372,low,2022-03-04 14:49:00,25.96
373,close,2022-03-04 14:49:00,25.965
375,open,2022-03-04 14:48:00,25.992
376,high,2022-03-04 14:48:00,26.01
377,low,2022-03-04 14:48:00,25.985
378,close,2022-03-04 14:48:00,26.0
380,open,2022-03-04 14:47:00,26.02
381,high,2022-03-04 14:47:00,26.02
382,low,2022-03-04 14:47:00,25.99
383,close,2022-03-04 14:47:00,25.99
385,open,2022-03-04 14:46:00,26.02
386,high,2022-03-04 14:46:00,26.02
387,low,2022-03-04 14:46:00,26.015
388,close,2022-03-04 14:46:00,26.02
390,open,2022-03-04 14:45:00,26.04
391,high,2022-03-04 14:45:00,26.04
392,low,2022-03-04 14:45:00,26.03
393,close,2022-03-04 14:45:00,26.04
395,open,2022-03-04 14:44:00,26.01
396,high,2022-03-04 14:44:00,26.01
397,low,2022-03-04 14:44:00,26.01
398,close,2022-03-04 14:44:00,26.01
400,open,2022-03-04 14:43:00,26.06
401,high,2022-03-04 14:43:00,26.06
402,low,2022-03-04 14:43:00,26.03
403,close,2022-03-04 14:43:00,26.03
405,open,2022-03-04 14:42:00,26.03
406,high,2022-03-04 14:42:00,26.06
407,low,2022-03-04 14:42:00,26.03
408,close,2022-03-04 14:42:00,26.05
410,open,2022-03-04 14:41:00,26.04
411,high,2022-03-04 14:41:00,26.04
412,low,2022-03-04 14:41:00,26.035
413,close,2022-03-04 14:41:00,26.04
415,open,2022-03-04 14:40:00,26.05
416,high,2022-03-04 14:40:00,26.05
417,low,2022-03-04 14:40:00,26.04
418,close,2022-03-04 14:40:00,26.04
420,open,2022-03-04 14:39:00,26.04
421,high,2022-03-04 14:39:00,26.05
422,low,2022-03-04 14:39:00,26.04
423,close,2022-03-04 14:39:00,26.05
425,open,2022-03-04 14:38:00,26.02
426,high,2022-03-04 14:38:00,26.02
427,low,2022-03-04 14:38:00,26.02
428,close,2022-03-04 14:38:00,26.02
430,open,2022-03-04 14:37:00,26.04
431,high,2022-03-04 14:37:00,26.05
432,low,2022-03-04 14:37:00,26.03
433,close,2022-03-04 14:37:00,26.03
435,open,2022-03-04 14:34:00,26.0529
436,high,2022-03-04 14:34:00,26.06
437,low,2022-03-04 14:34:00,26.03
438,close,2022-03-04 14:34:00,26.03
440,open,2022-03-04 14:33:00,26.068
441,high,2022-03-04 14:33:00,26.07
442,low,2022-03-04 14:33:00,26.06
443,close,2022-03-04 14:33:00,26.07
445,open,2022-03-04 14:32:00,26.03
446,high,2022-03-04 14:32:00,26.07
447,low,2022-03-04 14:32:00,26.03
448,close,2022-03-04 14:32:00,26.07
450,open,2022-03-04 14:31:00,26.015
451,high,2022-03-04 14:31:00,26.02
452,low,2022-03-04 14:31:00,26.0
453,close,2022-03-04 14:31:00,26.02
455,open,2022-03-04 14:30:00,26.02
456,high,2022-03-04 14:30:00,26.03
457,low,2022-03-04 14:30:00,26.01
458,close,2022-03-04 14:30:00,26.02
460,open,2022-03-04 14:29:00,26.04
461,high,2022-03-04 14:29:00,26.04
462,low,2022-03-04 14:29:00,26.03
463,close,2022-03-04 14:29:00,26.04
465,open,2022-03-04 14:28:00,26.03
466,high,2022-03-04 14:28:00,26.04
467,low,2022-03-04 14:28:00,26.02
468,close,2022-03-04 14:28:00,26.04
470,open,2022-03-04 14:26:00,26.0407
471,high,2022-03-04 14:26:00,26.06
472,low,2022-03-04 14:26:00,26.0407
473,close,2022-03-04 14:26:00,26.06
475,open,2022-03-04 14:25:00,26.05
476,high,2022-03-04 14:25:00,26.05
477,low,2022-03-04 14:25:00,26.04
478,close,2022-03-04 14:25:00,26.04
480,open,2022-03-04 14:24:00,26.04
481,high,2022-03-04 14:24:00,26.055
482,low,2022-03-04 14:24:00,26.04
483,close,2022-03-04 14:24:00,26.055
485,open,2022-03-04 14:23:00,26.035
486,high,2022-03-04 14:23:00,26.05
487,low,2022-03-04 14:23:00,26.03
488,close,2022-03-04 14:23:00,26.03
490,open,2022-03-04 14:22:00,26.03
491,high,2022-03-04 14:22:00,26.03
492,low,2022-03-04 14:22:00,26.01
493,close,2022-03-04 14:22:00,26.03
495,open,2022-03-04 14:20:00,26.02
496,high,2022-03-04 14:20:00,26.02
497,low,2022-03-04 14:20:00,26.02
498,close,2022-03-04 14:20:00,26.02
